postcode,,,postcode_space,ua_name,installation_count,ev_count,panel_count,battery_add_on,battery_storage_capacity_kw,pv_installed_capacity_kw
BS353RW,BS35,3RW,BS35 3RW,South Gloucestershire Council,RetroFitBattery,,0,1,5,0.00
BA16NH,BA1,6NH,BA1 6NH,Bath and North East Somerset Council,SolarPanels,,6,1,5,2.49
BS78HN,BS7,8HN,BS7 8HN,Bristol City Council,RetroFitBattery,,0,1,5,0.00
BS67HW,BS6,7HW,BS6 7HW,Bristol City Council,RetroFitBattery,,0,1,7,0.00
BS251JP,BS25,1JP,BS25 1JP,North Somerset Council,SolarPanels,,15,1,5,6.23
BS348GF,BS34,8GF,BS34 8GF,South Gloucestershire Council,SolarPanels,,14,1,12,5.81
BS232JP,BS23,2JP,BS23 2JP,North Somerset Council,SolarPanels,,14,1,7,5.81
BS227QL,BS22,7QL,BS22 7QL,North Somerset Council,SolarPanels,,8,1,5,3.32
BA22DR,BA2,2DR,BA2 2DR,Bath and North East Somerset Council,SolarPanels,,8,1,7,3.32
BS405NZ,BS40,5NZ,BS40 5NZ,North Somerset Council,SolarPanels,,15,1,7,6.23
BS311XD,BS31,1XD,BS31 1XD,Bath and North East Somerset Council,SolarPanels,,13,1,7,5.40
BS376XD,BS37,6XD,BS37 6XD,South Gloucestershire Council,SolarPanels,,14,1,7,5.81
BS328AE,BS32,8AE,BS32 8AE,South Gloucestershire Council,SolarPanels,,10,1,5,4.15
BS70TB,BS7,0TB,BS7 0TB,South Gloucestershire Council,SolarPanels,1,6,1,5,2.49
BS78UT,BS7,8UT,BS7 8UT,Bristol City Council,SolarPanels,1,5,1,5,2.08
BS208HG,BS20,8HG,BS20 8HG,North Somerset Council,RetroFitBattery,,0,1,7,0.00
BS495BQ,BS49,5BQ,BS49 5BQ,North Somerset Council,SolarPanels,,16,1,7,6.64
BS482UU,BS48,2UU,BS48 2UU,North Somerset Council,SolarPanels,,10,1,7,4.15
BS206AY,BS20,6AY,BS20 6AY,North Somerset Council,SolarPanels,,11,1,7,4.57
BS361BG,BS36,1BG,BS36 1BG,South Gloucestershire Council,SolarPanels,,10,1,7,4.15
BS227PZ,BS22,7PZ,BS22 7PZ,North Somerset Council,SolarPanels,,14,1,7,5.81
BS94RW,BS9,4RW,BS9 4RW,Bristol City Council,SolarPanels,1,10,1,5,4.15
BS482UU,BS48,2UU,BS48 2UU,North Somerset Council,SolarPanels,,12,1,7,4.98
BS164DE,BS16,4DE,BS16 4DE,Bristol City Council,SolarPanels,,9,1,5,3.74
BS82HD,BS8,2HD,BS8 2HD,Bristol City Council,SolarPanels,,9,1,7,3.74
BS65TZ,BS6,5TZ,BS6 5TZ,Bristol City Council,SolarPanels,,7,1,5,2.91
BS94RQ,BS9,4RQ,BS9 4RQ,Bristol City Council,SolarPanels,,5,1,5,2.08
BS233AT,BS23,3AT,BS23 3AT,North Somerset Council,RetroFitBattery,,0,1,7,0.00
BS92PA,BS9,2PA,BS9 2PA,Bristol City Council,RetroFitBattery,,0,1,7,0.00
BS206RJ,BS20,6RJ,BS20 6RJ,North Somerset Council,SolarPanels,,25,1,12,10.38
BS361DH,BS36,1DH,BS36 1DH,South Gloucestershire Council,SolarPanels,,6,1,5,2.49
BS162WB,BS16,2WB,BS16 2WB,Bristol City Council,SolarPanels,,8,1,12,3.32
BA32XA,BA3,2XA,BA3 2XA,Bath and North East Somerset Council,SolarPanels,,9,1,5,3.74
BS311SE,BS31,1SE,BS31 1SE,Bath and North East Somerset Council,SolarPanels,1,14,1,12,5.81
BS376ER,BS37,6ER,BS37 6ER,South Gloucestershire Council,SolarPanels,,16,1,7,6.64
BS94QY,BS9,4QY,BS9 4QY,Bristol City Council,SolarPanels,,5,1,5,2.08
BS484RB,BS48,4RB,BS48 4RB,North Somerset Council,SolarPanels,,13,1,7,5.40
BS374NP,BS37,4NP,BS37 4NP,South Gloucestershire Council,SolarPanels,,14,1,12,5.81
BS361NT,BS36,1NT,BS36 1NT,South Gloucestershire Council,SolarPanels,,6,0,,2.49
